gene,pooled_rho
ISG15,0.1238900161881906
SDF4,0.3066952325116374
MXRA8,-0.3680937881964876
MRPL20,0.1421683169240797
SSU72,0.1480941425011452
MIB2,0.3338260268897259
MMP23B,0.2794505095898134
GNB1,0.2294341020548901
RER1,0.3932762984425637
TNFRSF14,0.1833684343765962
PRXL2B,-0.1514728461299004
MMEL1,-0.2669056204030841
MEGF6,-0.2430548618166215
SMIM1,-0.2048976685657528
C1orf174,0.2566583990488947
KCNAB2,0.2294140578235858
RPL22,-0.5195455484380769
ACOT7,0.2607520178186301
TNFRSF25,-0.294888599440532
NOL9,-0.1487566020971342
UTS2,0.1000707357355646
PARK7,0.3452483665721129
RERE,-0.1221488835055084
ENO1,0.2319264716256585
CA6,-0.2564313368187096
SLC25A33,-0.1817275018629256
PIK3CD,-0.2365700169469411
CTNNBIP1,0.3411473859059664
CASZ1,0.21575519646757
UBIAD1,-0.1481996872693728
FBXO6,0.3720858508896163
MAD2L2,0.3989048252085846
AGTRAP,0.3587914263076855
PLOD1,0.2544361131069121
TNFRSF1B,0.3418992730401613
EFHD2,0.3825248146726183
AGMAT,-0.3625565480592049
SZRD1,0.2055510729597554
NBPF1,-0.1838947886611867
PADI4,-0.4163067105643688
MRTO4,-0.2325987624066844
CAPZB,0.2670661935169512
CAMK2N1,0.2636365259410151
DDOST,0.3039483059868516
ECE1,-0.1016939483721415
CDC42,0.1745995546364499
LUZP1,0.2004543993244295
TCEA3,-0.3968446808179843
RPL11,-0.41265757101412
NIPAL3,-0.2194063507209619
RCAN3,-0.4927725343565557
RSRP1,0.1200561453933333
TMEM50A,0.4462700234681688
MACO1,-0.1067250116396948
LDLRAP1,-0.3803289438524241
MAN1C1,-0.3677671244406151
PAFAH2,0.1887711431894706
SH3BGRL3,0.5016527097267552
CD52,0.3195499034675537
ZNF683,0.1880572730191084
HMGN2,0.1050056382497913
RPS6KA1,0.3116513890711803
KDF1,-0.1866729231473763
WDTC1,0.239388792679251
SYTL1,0.3370033813517707
FGR,0.3386348394646251
RPA2,0.2352205253950557
DNAJC8,0.2822594845665997
ATP5IF1,0.2920135646580377
SESN2,0.2272426520861711
RCC1,-0.109975057761981
EPB41,-0.142523633834766
SRSF4,0.2089877379531933
PTP4A2,0.3717010798281938
KHDRBS1,0.1180396519101842
CCDC28B,0.1606706350669726
EIF3I,0.110638701773944
LCK,0.283371174023378
HDAC1,0.2102331220708635
MARCKSL1,-0.1023025683743826
SMIM12,0.3077758232558018
TMEM35B,0.1754087612881593
PSMB2,0.4393091023043034
C1orf216,0.3077008274190501
AGO4,0.2330275671857308
MAP7D1,0.1671319513637719
THRAP3,0.2527057747601515
EVA1B,0.228627374189548
STK40,0.1812749311219156
ZC3H12A,0.1858102172602087
MEAF6,0.3723838436184055
C1orf122,0.3735634721878768
PABPC4,-0.3392427022675854
HPCAL4,-0.1813279731437469
CAP1,0.3508581893320202
SMAP2,-0.2783744085937534
HIVEP3,0.2344633896357599
FOXJ3,-0.1269270737780528
PPCS,0.1908875893761527
ELOVL1,0.3668547263282307
ATP6V0B,0.4599801484101934
ARMH1,-0.438613047366429
RPS8,-0.483935844597695
PLK3,-0.1350849650414161
PRDX1,0.3750565995596935
MAST2,0.1458708531029353
MKNK1,0.1810017926210568
BEND5,-0.3312841918892178
EPS15,0.3226172890972536
BTF3L4,-0.159711122801686
ZFYVE9,-0.1990824821908776
TUT4,-0.1506102464655621
ZYG11B,-0.1739472428289191
SCP2,0.4485587050411789
PODN,0.1031643207218552
SLC1A7,0.2107855540837593
MAGOH,0.2794970004858061
TMEM59,0.4654719102884184
SSBP3,0.1739342626251702
TTC22,0.2119355557787708
HOOK1,-0.3039244201274255
PATJ,-0.2189206825173077
CACHD1,-0.4486486459902766
IL23R,-0.1338876201975609
SERBP1,-0.200170182377374
ZRANB2,-0.1515471546935902
ST6GALNAC3,-0.2586399884236113
AK5,-0.3936887764851362
IFI44L,-0.1226072558451235
GNG5,0.4056363798453039
MCOLN2,0.350981686969499
SYDE2,-0.3067686153256161
ZNHIT6,-0.122157634683423
SELENOF,0.3276272420814741
LMO4,0.2185389581105419
GBP1,0.1266947169397483
