gene,pooled_rho
TNFRSF18,0.1572401148508718
TNFRSF4,0.2533724258215173
AURKAIP1,0.1938639253394513
CCNL2,-0.1390708870226542
SSU72,0.1089857384853007
CDK11B,-0.1098158290244954
CDK11A,-0.1061437553625615
RER1,0.1928981917458714
RPL22,-0.2507855018753272
ACOT7,0.1942961850841982
NOL9,-0.158084018153672
CAMTA1,0.1420073642594209
UTS2,0.1864625991561498
PARK7,0.1864062749185445
RERE,-0.1562522155561645
ENO1,0.1783907410684287
CA6,0.1289735908261777
SLC25A33,-0.2138277065692581
PIK3CD,-0.1987936859678964
FBXO6,0.1150740361097005
TNFRSF1B,0.1385384590959
SPEN,-0.1463836226529452
SDHB,0.1443700400626909
PADI4,-0.1877505990861649
UBR4,-0.1403746251208822
MICOS10,0.1749866921917336
CAMK2N1,0.1566469647972492
DDOST,0.1356174535230169
ZBTB40,-0.1362280172821388
LUZP1,-0.1033464611430617
SRSF10,-0.1957906298393177
RCAN3,-0.2051493676736119
TMEM50A,0.2415182919656122
MACO1,-0.135321517870969
LDLRAP1,-0.1179348567193083
MAN1C1,-0.102690146224213
SH3BGRL3,0.3486240809389405
UBXN11,0.2525444275056751
CD52,0.1781444354704987
ARID1A,-0.1413121161597548
WASF2,-0.2016077985430549
IFI6,-0.1105440337752495
ATP5IF1,0.1146867157128776
TAF12,0.1522914015717863
EPB41,-0.3254661072109875
LAPTM5,-0.122963476469812
PUM1,-0.1759524639691739
MARCKSL1,-0.2472658006863467
ZBTB8OS,0.1497749439429488
TMEM35B,0.1051887877409448
SFPQ,-0.1558024653418132
ZMYM4,-0.1564239275950893
KIAA0319L,-0.1587075820928476
PSMB2,0.239804689754663
AGO3,-0.1467294888967328
TRAPPC3,0.1167793631092501
LSM10,0.1558877717760168
MEAF6,0.157021650468885
RRAGC,0.1119471220999239
AKIRIN1,-0.1416077322259221
NDUFS5,0.1027587478559508
PPIE,0.1192243966722499
RLF,-0.1673281301492729
FOXJ3,-0.1630442544045177
PPCS,0.1402516084901798
ELOVL1,0.1653162471721619
ATP6V0B,0.2072812895458928
TOE1,-0.1712356886371489
PRDX1,0.2471937421907527
TXNDC12,0.2040096643226791
TUT4,-0.2155587459720801
SCP2,0.2239511387943409
TMEM59,0.2438129044386533
MYSM1,-0.1420851327820056
HOOK1,-0.1793778028114256
CACHD1,-0.4506298044633455
JAK1,-0.2404765056362436
MIER1,-0.1775759928729637
SERBP1,-0.2193183385075404
SRSF11,-0.161511447940448
ANKRD13C,-0.1135038161977542
ZRANB2,-0.1687549500645437
AK5,-0.2097870920751203
USP33,-0.1452854389147196
FUBP1,-0.1434394032659225
IFI44L,-0.1097993541125426
PRKACB,-0.265436034373044
GNG5,0.1861338506783907
MCOLN2,0.1143524958583946
SELENOF,0.1330784789244092
PKN2,-0.1539603575168907
GBP1,0.1201564981826326
GBP2,0.1228652202092935
ZNF326,-0.1670193075998988
ZNF644,-0.1303888983014216
TMED5,0.1572234385865109
PTBP2,-0.1496535038494744
DPH5,-0.1323968845327864
RNPC3,-0.1053686693631117
PRPF38B,-0.1190454874480296
PSMA5,0.2088709530058443
GSTM2,-0.1202331635061035
CSF1,0.1472178684292431
LAMTOR5,0.1513289037635505
CD53,0.1201544946368789
CEPT1,-0.1623784105926235
DENND2D,-0.143983534000364
CHI3L2,-0.2802345578848236
ATP5PB,0.1987995038368029
C1orf162,0.3216264674395538
CAPZA1,0.1379209291255729
RHOC,0.2242808460630513
HIPK1,-0.1427088985795661
TRIM33,-0.1297700908583751
TSPAN2,0.2985407508747576
ATP1A1,0.1343610233411777
CD58,0.2628593323173783
CD2,0.1925280664473448
POLR3GL,0.2368608716937283
VPS45,0.1631685957830755
RPRD2,-0.1244006738151677
PSMD4,0.1983809019104557
S100A10,0.3328030903278418
S100A11,0.2863863998202295
S100A6,0.3844414121580256
S100A4,0.3729259273491465
GATAD2B,-0.112620977007522
JTB,0.1755209380102456
C1orf43,0.1197995053510038
HAX1,0.1577604209001496
ADAR,-0.1271189432477084
PMVK,0.1873577983545651
DPM3,0.1741866940053599
KRTCAP2,0.2120064502389239
FDPS,0.1679300852811416
ASH1L,-0.1231838477167138
GON4L,-0.1227381573381247
SYT11,0.2329493821948089
SSR2,0.1865897445980426
LAMTOR2,0.170404874153996
LMNA,0.1512786610157083
PMF1,0.1967579648043332
ISG20L2,-0.1063846373025878
SH2D2A,0.2087357281671642
FCRL3,-0.1448769396286215
FCRL1,-0.1040403977843087
PYHIN1,0.2551279471095446
AIM2,0.1059635466638356
DUSP23,0.1886779443822395
TAGLN2,0.1846095040133408
ARHGAP30,-0.1036202612079186
PFDN2,0.187968053472088
UFC1,0.1217430859114295
FCER1G,-0.1202352308835262
SDHC,0.1707988062908192
ATF6,-0.1339955340569958
MGST3,0.2913569933692905
TMCO1,0.1696024838829358
GPA33,-0.2565127817494084
CD247,-0.1514061750264646
RCSD1,-0.1367144920447289
MPC2,0.1117857015005194
SELL,-0.1492585519978764
PRRC2C,-0.1341944725202621
SUCO,-0.1021407083179692
PRDX6,0.1847195420635212
RC3H1,-0.2182769012817405
RALGPS2,-0.2169039507593754
TOR3A,0.1372891735853454
XPR1,-0.1718792593243046
RGS16,0.1163265177933432
DHX9,-0.1746563848866862
SMG7,-0.1818378882805909
EDEM3,-0.1087768213103763
IVNS1ABP,-0.129153031903108
CFH,0.1683456814159279
CSRP1,0.138820552817239
PTPN7,0.1918206253840971
ADIPOR1,0.1179347179615904
MDM4,-0.197657875524922
NUAK2,-0.1293421073039964
ELK4,-0.1410206380532185
